3954,9,0,1,0,0,0,0,27,0,1,0,0,0,0,1,35,0,1,0,0,0,0,1,3,0,1,3,27,3,0,0,0,0,0,0,2,1,7,45,?,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.995025,14,?
3955,9,0,0,0,0,0,1,29,0,0,0,0,0,1,4,43,0,0,0,0,0,1,1,3,0,2,?,0,3,0,0,0,0,0,0,0,2,4,?,2,0,0,0,0,0,0,2,23,1,?,1,1,99,99,5,1,1,-0.995025,13,?
3956,1,0,1,0,0,0,0,36,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,3,2,1,4,0,3,0,0,0,0,0,0,0,1,4,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.995025,13,?
3957,1,0,0,0,0,1,0,38,0,0,0,0,1,0,4,?,?,?,?,?,?,?,?,3,5,1,10,0,3,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,1,31,?,1,1,1,2,4,2,1,2,-0.995025,12,?
3958,1,0,1,0,0,0,0,27,0,1,0,0,0,0,4,36,0,1,0,0,0,0,1,4,0,2,3,0,2,0,0,0,0,0,0,0,2,11,50,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,-0.995025,14,?
3959,10,0,1,1,0,0,0,22,0,1,1,0,0,0,1,27,0,1,1,0,0,0,1,3,3,2,1,?,3,0,0,0,0,0,0,0,1,8,50,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.995025,14,?
3960,8,0,0,0,0,1,0,27,0,0,0,0,1,0,1,25,0,0,0,0,1,0,1,3,0,1,10,32,3,0,0,0,0,0,0,0,1,3,55,2,0,0,0,0,0,0,2,21,1,1,1,1,2,99,3,1,1,-0.995025,11,?
3961,10,0,0,1,0,0,0,25,0,0,?,0,0,0,?,22,0,0,1,0,0,0,4,3,0,2,?,0,1,0,0,0,0,0,0,0,2,7,0,?,0,0,0,0,0,0,2,21,1,1,1,99,2,99,3,1,1,-0.995025,9,?
3962,8,0,1,1,0,0,0,23,0,0,1,0,0,0,4,38,?,1,?,?,?,?,?,3,2,2,6,0,1,0,0,0,0,0,0,?,?,0,0,?,0,0,0,0,0,0,1,21,1,1,1,1,99,99,4,1,1,-0.995025,7,?
3964,8,1,1,0,0,1,0,28,1,0,0,0,0,0,4,30,0,1,0,0,0,0,1,4,1,1,4,15,3,0,0,0,0,0,0,4,1,10,65,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.995025,13,?
3965,10,0,0,0,0,0,1,36,1,0,0,0,0,1,4,39,0,0,0,0,0,1,1,3,8,2,2,0,3,0,0,0,0,0,0,6,2,4,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,99,4,1,1,-0.995025,13,?
3968,4,0,1,1,0,0,0,31,0,1,0,0,0,0,1,30,0,1,1,0,0,0,1,3,5,1,11,30,2,0,0,0,0,0,0,0,1,11,60,2,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,-0.995025,13,?
3969,4,0,1,0,0,0,0,28,0,1,0,0,0,0,2,25,0,1,0,0,0,0,1,3,5,1,8,10,2,0,0,0,0,0,0,5,1,8,70,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.995025,13,?
3970,6,0,0,0,0,1,0,25,0,0,0,0,1,0,1,25,0,0,0,0,0,0,1,3,0,2,2,60,1,0,0,0,0,0,0,0,2,1,32,1,0,0,0,0,0,0,1,21,1,1,1,1,99,99,5,1,1,-0.995025,10,?
3971,1,0,1,0,0,0,0,43,0,1,0,0,0,0,1,45,0,1,0,0,0,0,1,4,7,1,10,40,3,0,0,0,0,0,0,1,1,11,31,2,0,0,0,0,0,0,1,21,1,1,1,1,2,4,6,1,1,-0.995025,14,?
3972,4,0,1,0,0,0,0,24,0,1,0,0,0,0,4,29,0,1,0,0,0,0,1,2,1,2,2,0,3,0,0,0,0,0,0,0,2,2,30,2,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.995025,12,?
3973,9,0,0,0,1,0,0,34,0,0,0,1,1,0,4,?,?,?,?,?,?,?,?,3,2,2,0,0,3,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,1,31,?,1,1,99,2,99,5,1,2,-0.995025,10,?
3974,9,0,0,1,0,0,0,25,0,0,1,0,0,0,4,?,?,?,?,?,?,?,?,5,5,2,1,0,1,0,0,1,0,0,0,?,?,?,0,?,0,0,0,0,0,0,2,31,?,1,1,99,2,99,5,1,2,-0.995025,4,?
3975,10,0,0,1,0,0,0,35,?,?,?,?,?,?,4,?,?,?,?,?,?,?,?,3,?,?,?,0,3,0,0,0,0,0,0,?,?,?,0,?,0,0,0,0,0,0,1,31,?,1,1,1,99,99,5,1,2,-0.995025,12,?
3976,1,0,0,0,0,1,0,26,0,0,0,0,1,0,1,27,0,0,0,0,1,0,1,3,2,2,11,30,3,0,0,0,0,0,0,3,2,2,70,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,-0.995025,14,?
3977,2,0,0,0,0,1,0,33,0,1,0,0,0,0,4,27,0,0,0,0,1,0,1,3,2,2,4,0,3,0,0,0,0,0,0,2,2,11,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,99,3,1,1,-0.995025,13,?
3978,4,0,0,0,0,1,0,27,0,0,0,0,1,0,1,35,0,0,0,0,1,0,3,3,2,2,10,40,3,0,0,0,0,0,0,13,2,3,?,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,6,2,1,-0.995025,11,?
